open,high,low,volume,marketCap,close
100,105,95,1000,50000,102
101,106,96,1001,50001,103
102,107,97,1002,50002,104
103,108,98,1003,50003,105
104,109,99,1004,50004,106
105,110,100,1005,50005,107
106,111,101,1006,50006,108
107,112,102,1007,50007,109
108,113,103,1008,50008,110
109,114,104,1009,50009,111
110,115,105,1010,50010,112
111,116,106,1011,50011,113
112,117,107,1012,50012,114
113,118,108,1013,50013,115
114,119,109,1014,50014,116
115,120,110,1015,50015,117
116,121,111,1016,50016,118
117,122,112,1017,50017,119
118,123,113,1018,50018,120
119,124,114,1019,50019,121
120,125,115,1020,50020,122
121,126,116,1021,50021,123
122,127,117,1022,50022,124
123,128,118,1023,50023,125
124,129,119,1024,50024,126
125,130,120,1025,50025,127
126,131,121,1026,50026,128
127,132,122,1027,50027,129
128,133,123,1028,50028,130
129,134,124,1029,50029,131
130,135,125,1030,50030,132
131,136,126,1031,50031,133
132,137,127,1032,50032,134
133,138,128,1033,50033,135
134,139,129,1034,50034,136
135,140,130,1035,50035,137
136,141,131,1036,50036,138
137,142,132,1037,50037,139
138,143,133,1038,50038,140
139,144,134,1039,50039,141
140,145,135,1040,50040,142
141,146,136,1041,50041,143
142,147,137,1042,50042,144
143,148,138,1043,50043,145
144,149,139,1044,50044,146
145,150,140,1045,50045,147
146,151,141,1046,50046,148
147,152,142,1047,50047,149
148,153,143,1048,50048,150
149,154,144,1049,50049,151
150,155,145,1050,50050,152
151,156,146,1051,50051,153
152,157,147,1052,50052,154
153,158,148,1053,50053,155
154,159,149,1054,50054,156
155,160,150,1055,50055,157
156,161,151,1056,50056,158
157,162,152,1057,50057,159
158,163,153,1058,50058,160
159,164,154,1059,50059,161
160,165,155,1060,50060,162
161,166,156,1061,50061,163
162,167,157,1062,50062,164
163,168,158,1063,50063,165
164,169,159,1064,50064,166
165,170,160,1065,50065,167
166,171,161,1066,50066,168
167,172,162,1067,50067,169
168,173,163,1068,50068,170
169,174,164,1069,50069,171
170,175,165,1070,50070,172
171,176,166,1071,50071,173
172,177,167,1072,50072,174
173,178,168,1073,50073,175
174,179,169,1074,50074,176
175,180,170,1075,50075,177
176,181,171,1076,50076,178
177,182,172,1077,50077,179
178,183,173,1078,50078,180
179,184,174,1079,50079,181
180,185,175,1080,50080,182
181,186,176,1081,50081,183
182,187,177,1082,50082,184
183,188,178,1083,50083,185
184,189,179,1084,50084,186
185,190,180,1085,50085,187
186,191,181,1086,50086,188
187,192,182,1087,50087,189
188,193,183,1088,50088,190
189,194,184,1089,50089,191
190,195,185,1090,50090,192
191,196,186,1091,50091,193
192,197,187,1092,50092,194
193,198,188,1093,50093,195
194,199,189,1094,50094,196
195,200,190,1095,50095,197
196,201,191,1096,50096,198
197,202,192,1097,50097,199
198,203,193,1098,50098,200
199,204,194,1099,50099,201
