open,high,low,volume,marketCap,close
155,160,150,1055,50055,157
188,193,183,1088,50088,190
126,131,121,1026,50026,128
142,147,137,1042,50042,144
169,174,164,1069,50069,171
115,120,110,1015,50015,117
140,145,135,1040,50040,142
196,201,191,1096,50096,198
109,114,104,1009,50009,111
172,177,167,1072,50072,174
111,116,106,1011,50011,113
147,152,142,1047,50047,149
185,190,180,1085,50085,187
128,133,123,1028,50028,130
193,198,188,1093,50093,195
105,110,100,1005,50005,107
166,171,161,1066,50066,168
165,170,160,1065,50065,167
135,140,130,1035,50035,137
116,121,111,1016,50016,118
149,154,144,1049,50049,151
134,139,129,1034,50034,136
107,112,102,1007,50007,109
195,200,190,1095,50095,197
127,132,122,1027,50027,129
119,124,114,1019,50019,121
181,186,176,1081,50081,183
125,130,120,1025,50025,127
162,167,157,1062,50062,164
113,118,108,1013,50013,115
124,129,119,1024,50024,126
103,108,98,1003,50003,105
117,122,112,1017,50017,119
138,143,133,1038,50038,140
108,113,103,1008,50008,110
178,183,173,1078,50078,180
106,111,101,1006,50006,108
164,169,159,1064,50064,166
136,141,131,1036,50036,138
189,194,184,1089,50089,191
156,161,151,1056,50056,158
199,204,194,1099,50099,201
154,159,149,1054,50054,156
143,148,138,1043,50043,145
150,155,145,1050,50050,152
167,172,162,1067,50067,169
146,151,141,1046,50046,148
168,173,163,1068,50068,170
161,166,156,1061,50061,163
197,202,192,1097,50097,199
179,184,174,1079,50079,181
141,146,136,1041,50041,143
158,163,153,1058,50058,160
148,153,143,1048,50048,150
198,203,193,1098,50098,200
157,162,152,1057,50057,159
175,180,170,1075,50075,177
132,137,127,1032,50032,134
194,199,189,1094,50094,196
159,164,154,1059,50059,161
163,168,158,1063,50063,165
184,189,179,1084,50084,186
137,142,132,1037,50037,139
129,134,124,1029,50029,131
101,106,96,1001,50001,103
152,157,147,1052,50052,154
121,126,116,1021,50021,123
102,107,97,1002,50002,104
123,128,118,1023,50023,125
187,192,182,1087,50087,189
191,196,186,1091,50091,193
174,179,169,1074,50074,176
186,191,181,1086,50086,188
182,187,177,1082,50082,184
120,125,115,1020,50020,122
160,165,155,1060,50060,162
171,176,166,1071,50071,173
114,119,109,1014,50014,116
192,197,187,1092,50092,194
151,156,146,1051,50051,153
